;
1.3. Décès par cause,  - dont Sida et VIH,  - Taux de mortalité pour 100 000 personnes;http://www.ecosante.fr/index2.php?base=DEPA&langs=FRA&langh=FRA&source=800257;
;
;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;;
;DC totaux:Sida & VIH;DC totaux:Sida & VIH;DC totaux:Sida & VIH;DC totaux:Sida & VIH;DC totaux:Sida & VIH;DC totaux:Sida & VIH;DC totaux:Sida & VIH;DC totaux:Sida & VIH;DC totaux:Sida & VIH;DC totaux:Sida & VIH;DC totaux:Sida & VIH;DC totaux:Sida & VIH;DC totaux:Sida & VIH;;
;- Taux de mortalité pour 100 000 personnes;- Taux de mortalité pour 100 000 personnes;- Taux de mortalité pour 100 000 personnes;- Taux de mortalité pour 100 000 personnes;- Taux de mortalité pour 100 000 personnes;- Taux de mortalité pour 100 000 personnes;- Taux de mortalité pour 100 000 personnes;- Taux de mortalité pour 100 000 personnes;- Taux de mortalité pour 100 000 personnes;- Taux de mortalité pour 100 000 personnes;- Taux de mortalité pour 100 000 personnes;- Taux de mortalité pour 100 000 personnes;- Taux de mortalité pour 100 000 personnes;;
000 France métropolitaine;1,7;1,7;1,6;1,6;1,5;1,3;1,3;1,2;1,0;0,8;0,7;0,6;0,6;;
001 France entière;1,7;1,8;1,7;1,7;1,6;1,4;1,4;1,2;1,1;0,9;0,8;0,6;0,7;;
D01 Ain;0,6;0,0;0,2;0,7;0,4;0,4;0,5;0,3;0,3;0,2;0,3;0,2;0,5;;
D02 Aisne;1,1;1,3;0,2;0,7;0,4;0,4;1,1;0,6;0,4;0,4;0,0;0,6;0,2;;
D03 Allier;0,3;1,2;2,0;0,9;0,3;0,9;0,9;1,5;0,6;0,6;0,0;0,9;0,6;;
D04 Alpes-de-Haute-Provence;2,1;4,2;4,8;1,4;3,3;2,0;1,9;3,2;2,5;1,9;0,6;0,6;0,6;;
D05 Hautes-Alpes;2,4;1,6;1,6;3,2;2,3;3,9;0,0;1,5;2,2;1,5;1,5;2,2;0,7;;
D06 Alpes-Maritimes;5,3;4,4;6,1;4,7;5,5;3,8;3,8;3,4;2,9;1,8;1,2;1,5;0,9;;
D07 Ardèche;0,3;0,7;1,4;1,3;1,0;0,7;0,3;0,0;0,6;1,0;0,3;0,3;0,6;;
D08 Ardennes;0,0;0,3;0,3;0,7;1,0;0,0;0,4;0,4;0,4;0,4;0,0;0,4;0,4;;
D09 Ariège;0,7;0,0;2,1;0,7;1,4;0,0;0,7;2,0;0,0;1,3;0,0;0,0;2,6;;
D10 Aube;2,0;1,0;1,0;0,3;1,7;1,0;0,7;1,0;0,7;1,3;0,7;0,7;0,7;;
