;
1.3. Décès par cause,  - dont Sida et VIH, Femmes : Nombre de décès;http://www.ecosante.fr/index2.php?base=DEPA&langs=FRA&langh=FRA&source=800257;
;
;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;;
;DC totaux:Sida & VIH;DC totaux:Sida & VIH;DC totaux:Sida & VIH;DC totaux:Sida & VIH;DC totaux:Sida & VIH;DC totaux:Sida & VIH;DC totaux:Sida & VIH;DC totaux:Sida & VIH;DC totaux:Sida & VIH;DC totaux:Sida & VIH;DC totaux:Sida & VIH;DC totaux:Sida & VIH;DC totaux:Sida & VIH;;
;Femmes : Nombre de décès;Femmes : Nombre de décès;Femmes : Nombre de décès;Femmes : Nombre de décès;Femmes : Nombre de décès;Femmes : Nombre de décès;Femmes : Nombre de décès;Femmes : Nombre de décès;Femmes : Nombre de décès;Femmes : Nombre de décès;Femmes : Nombre de décès;Femmes : Nombre de décès;Femmes : Nombre de décès;;
000 France métropolitaine;207;209;219;220;219;199;182;174;160;116;122;97;105;;
001 France entière;225;239;251;247;247;230;211;192;177;135;134;112;117;;
D01 Ain;1;0;1;1;0;0;1;0;0;1;0;1;1;;
D02 Aisne;0;3;1;0;0;0;3;0;0;1;0;0;0;;
D03 Allier;0;1;1;0;1;1;1;0;0;1;0;1;0;;
D04 Alpes-de-Haute-Provence;1;0;1;1;1;0;0;0;0;0;1;1;0;;
D05 Hautes-Alpes;2;0;0;0;0;2;0;0;2;0;1;1;0;;
D06 Alpes-Maritimes;7;9;12;13;15;12;9;13;9;7;3;1;1;;
D07 Ardèche;0;1;0;1;0;0;0;0;0;0;0;0;0;;
D08 Ardennes;0;0;0;0;0;0;0;0;0;0;0;0;0;;
D09 Ariège;0;0;1;1;2;0;0;0;0;0;0;0;0;;
D10 Aube;0;0;1;0;0;0;1;0;0;0;0;0;2;;
D11 Aude;1;1;3;1;1;1;1;1;2;0;0;0;2;;
D12 Aveyron;0;1;1;0;0;0;1;0;0;1;0;0;0;;
D13 Bouches-du-Rhône;13;16;16;20;15;20;15;11;7;8;10;6;6;;
D14 Calvados;1;0;1;0;2;0;1;2;0;0;0;1;0;;
D15 Cantal;1;1;1;0;0;0;0;0;1;0;1;0;0;;
D16 Charente;1;1;1;1;2;0;1;1;0;0;0;0;1;;
D17 Charente-Maritime;4;4;0;1;4;0;2;0;4;0;1;0;0;;
D18 Cher;0;0;2;0;2;1;1;0;0;2;2;0;0;;
D19 Corrèze;1;0;2;0;1;0;0;1;1;0;1;0;0;;
D21 Côte-d'Or;1;1;0;1;0;0;2;1;1;0;0;2;0;;
D22 Côtes-d'Armor;0;1;2;0;1;4;0;0;1;0;1;0;2;;
D23 Creuse;0;2;0;0;0;0;1;0;0;0;0;0;0;;
D24 Dordogne;0;1;2;1;1;1;0;0;3;1;1;0;0;;
D25 Doubs;1;0;0;3;3;1;2;1;0;0;0;0;0;;
D26 Drôme;1;1;1;0;0;1;0;1;1;0;1;1;1;;
D27 Eure;2;2;2;1;2;1;2;4;0;1;2;2;1;;
D28 Eure-et-Loir;0;0;1;3;0;0;3;0;1;0;1;1;1;;
D29 Finistère;5;1;2;4;1;1;0;0;0;0;0;0;0;;
D2A Corse-du-Sud; ; ; ; ; ; ;1;0;1; ; ; ; ;;
D2B Haute-Corse; ; ; ; ; ; ;0;3;1; ; ; ; ;;
D30 Gard;2;1;1;4;2;4;4;1;2;3;3;0;1;;
D31 Haute-Garonne;4;1;4;2;2;2;5;1;3;1;1;0;0;;
D32 Gers;0;0;1;0;0;1;0;0;1;0;0;0;0;;
D33 Gironde;3;4;9;7;8;7;3;4;4;3;5;3;1;;
D34 Hérault;9;6;5;2;7;2;6;4;2;1;4;1;2;;
D35 Ille-et-Vilaine;0;1;3;1;1;3;1;2;0;2;1;1;1;;
D36 Indre;0;0;0;1;0;0;0;0;0;0;0;0;1;;
D37 Indre-et-Loire;0;2;2;2;1;2;1;0;1;2;1;1;1;;
D38 Isère;3;0;3;0;0;2;0;0;4;1;1;2;2;;
D39 Jura;1;0;0;0;0;0;1;0;1;0;1;0;1;;
D40 Landes;1;2;0;1;4;2;1;0;1;1;0;0;0;;
D41 Loir-et-Cher;2;0;0;1;0;1;3;1;1;1;1;1;1;;
D42 Loire;0;0;0;1;3;2;1;1;2;1;0;3;0;;
D43 Haute-Loire;1;0;1;1;0;0;0;1;0;0;0;0;0;;
D44 Loire-Atlantique;2;3;1;3;2;3;2;4;1;1;0;1;1;;
D45 Loiret;1;3;3;1;1;1;1;1;1;0;1;1;0;;
D46 Lot;0;1;0;0;1;0;3;0;0;1;0;0;0;;
D47 Lot-et-Garonne;0;2;1;2;0;1;0;1;1;1;0;0;0;;
D48 Lozère;0;0;0;0;0;0;0;0;0;0;0;0;0;;
D49 Maine-et-Loire;0;0;1;2;1;1;1;1;0;2;2;1;2;;
D50 Manche;1;0;4;0;0;3;0;0;1;1;1;0;0;;
D51 Marne;0;1;1;1;1;0;0;0;1;0;0;1;0;;
D52 Haute-Marne;0;1;0;1;0;0;0;0;1;0;0;0;0;;
D53 Mayenne;1;0;1;0;1;0;0;3;0;0;0;0;1;;
