;
1.3. Décès par cause,  - dont Sida et VIH, Hommes : Nombre de décès;http://www.ecosante.fr/index2.php?base=DEPA&langs=FRA&langh=FRA&source=800257;
;
;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;;
;DC totaux:Sida & VIH;DC totaux:Sida & VIH;DC totaux:Sida & VIH;DC totaux:Sida & VIH;DC totaux:Sida & VIH;DC totaux:Sida & VIH;DC totaux:Sida & VIH;DC totaux:Sida & VIH;DC totaux:Sida & VIH;DC totaux:Sida & VIH;DC totaux:Sida & VIH;DC totaux:Sida & VIH;DC totaux:Sida & VIH;;
;Hommes : Nombre de décès;Hommes : Nombre de décès;Hommes : Nombre de décès;Hommes : Nombre de décès;Hommes : Nombre de décès;Hommes : Nombre de décès;Hommes : Nombre de décès;Hommes : Nombre de décès;Hommes : Nombre de décès;Hommes : Nombre de décès;Hommes : Nombre de décès;Hommes : Nombre de décès;Hommes : Nombre de décès;;
000 France métropolitaine;791;790;765;723;691;618;608;544;477;381;330;284;300;;
001 France entière;826;875;821;789;752;676;657;591;511;414;359;307;326;;
D01 Ain;2;0;0;3;2;2;2;2;2;0;2;0;2;;
D02 Aisne;6;4;0;4;2;2;3;3;2;1;0;3;1;;
D03 Allier;1;3;6;3;0;2;2;5;2;1;0;2;2;;
D04 Alpes-de-Haute-Provence;2;6;6;1;4;3;3;5;4;3;0;0;1;;
D05 Hautes-Alpes;1;2;2;4;3;3;0;2;1;2;1;2;1;;
D06 Alpes-Maritimes;47;36;51;36;43;28;32;24;22;12;10;15;9;;
D07 Ardèche;1;1;4;3;3;2;1;0;2;3;1;1;2;;
D08 Ardennes;0;1;1;2;3;0;1;1;1;1;0;1;1;;
D09 Ariège;1;0;2;0;0;0;1;3;0;2;0;0;4;;
D10 Aube;6;3;2;1;5;3;1;3;2;4;2;2;0;;
D11 Aude;6;3;3;5;7;10;4;5;3;1;2;3;1;;
D12 Aveyron;0;3;3;1;2;1;2;0;1;1;2;1;1;;
D13 Bouches-du-Rhône;50;54;60;49;44;44;43;39;24;27;13;20;9;;
